indice_tiempo,ipc_ng_nacional,ipc_ng_gba,ipc_ng_pampeana,ipc_ng_nea,ipc_ng_noa,ipc_ng_cuyo,ipc_ng_patagonia,ipc_ng_nacional_tasa_variacion_mensual
2022-03-01,676.0566,661.8688,683.9059,705.7838,692.6827,706.0617,670.3019,0.06728797833902544
2022-04-01,716.9,702.8,724.0,748.3,736.8,747.3,709.8,0.06041417242284153
2022-05-01,753.147,736.3637,762.1563,787698,777.6674,786.3491,744.3162,0.05056074766355145
2022-06-01,793.0278,776.6701,801.4471,826.4822,818411,827.9972,782142,0.05295221251628157
2022-07-01,851.761,833.8894,861702,887.9574,873.5624,888.7017,845.0397,0.07406196857159353
2022-08-01,911.1316,891851,921.3802,955.6421,940.0434,946058,899.4604,0.06970335575355069
2022-09-01,967.3076,945.6836,979.0952,1021.0723,997.7785,1003.4171,954.6011,0.061655198875771644
2022-10-01,1028.706,1007.6275,1039.2079,1084624,1060.4604,1063.4948,1017.5863,0.0634735010869345
2022-11-01,1079.3,1058.0026,1090.4933,1133.8,1108.8388,1115.9,1067.5,0.04918217644302647
2022-12-01,1134.5875,1114.5359,1145.8755,1188.0619,1160.5028,1171.7081,1115.8852,0.05122533123320694
2023-01-01,1202.979,1180967,1215.4751,1255.1401,1233.9904,1246.1488,1181.5995,0.060278735663842564
2023-02-01,1282.7091,1259.9952,1292.6662,1352.5571,1323.9654,1329.9144,1249.6345,0.0662772168092709
2023-03-01,1381.1601,1358.4995,1393.7727,1437.0683,1421.13,1434.4221,1336.6514,0.07675239849783555
